event_id,user_id,feature,event_date,action
714190,U034421,budgeting,2024-08-12,use
626871,U030176,get_paid_early,2024-11-25,use
156989,U007495,pots,2024-09-18,use
783615,U037740,investments,2024-12-07,use
875907,U042170,get_paid_early,2024-11-21,use
861788,U041498,investments,2024-12-31,use
147071,U007021,budgeting,2024-10-19,use
401706,U019284,pensions,2024-06-08,enable
678004,U032691,get_paid_early,2024-12-31,use
494984,U023775,budgeting,2024-12-31,use
624277,U030046,roundups,2024-12-31,use
951104,U045757,budgeting,2024-12-31,use
690303,U033306,roundups,2024-08-12,use
450957,U021630,budgeting,2024-11-26,use
374526,U017934,roundups,2024-11-20,use
990101,U047591,roundups,2024-12-31,use
589797,U028375,roundups,2024-12-14,use
111416,U005277,budgeting,2024-12-23,use
467581,U022453,roundups,2024-12-31,use
173137,U008252,pots,2024-07-11,use
436367,U020915,budgeting,2024-12-25,use
701813,U033845,pots,2024-12-31,use
344237,U016535,investments,2024-09-06,use
824002,U039663,get_paid_early,2024-09-14,use
353169,U016946,pensions,2024-12-31,use
94012,U004453,roundups,2024-12-31,use
482042,U023142,budgeting,2024-12-31,use
359853,U017270,budgeting,2024-12-31,use
226434,U010827,get_paid_early,2024-12-31,use
331502,U015933,budgeting,2024-12-23,use
409712,U019656,pots,2024-12-05,use
670462,U032313,investments,2024-12-16,use
173229,U008257,pots,2024-12-31,use
848993,U040892,budgeting,2024-12-30,use
312503,U015020,pots,2024-12-31,use
139489,U006639,roundups,2024-09-09,use
418859,U020100,budgeting,2024-12-20,use
747535,U036027,pots,2024-05-11,use
794061,U038213,pots,2024-12-31,use
1019166,U048978,roundups,2024-12-21,use
501575,U024112,roundups,2024-12-31,use
938609,U045175,pots,2024-12-31,use
527429,U025364,get_paid_early,2024-07-21,use
430478,U020635,roundups,2024-10-23,use
158142,U007542,budgeting,2024-12-31,use
83951,U003982,get_paid_early,2024-07-31,enable
979938,U047101,roundups,2024-12-31,use
569621,U027392,budgeting,2024-06-14,use
258516,U012392,roundups,2024-07-12,enable
524329,U025211,roundups,2024-12-31,use
473388,U022740,pots,2024-12-01,use
259883,U012464,pots,2024-12-31,use
516958,U024855,budgeting,2024-12-31,use
985409,U047354,investments,2024-12-31,use
739261,U035638,investments,2024-12-31,use
617286,U029706,pots,2024-04-26,enable
753489,U036305,budgeting,2024-08-08,use
2780,U000139,roundups,2024-12-31,use
