txn_id,user_id,txn_date,amount,category,channel
1519348,U042695,2024-12-31,18.49,restaurants,online
1192101,U033716,2024-06-20,6.95,entertainment,direct_debit
786494,U022157,2024-09-26,34.11,transport,direct_debit
1178549,U033319,2024-10-28,7.54,entertainment,online
368557,U010500,2024-09-17,16.78,bills,direct_debit
654100,U018499,2024-09-28,63.81,groceries,online
882496,U024991,2024-06-17,3.78,bills,card
107070,U003046,2024-12-31,8.07,groceries,card
225573,U006509,2024-04-19,9.12,groceries,card
332189,U009481,2024-12-31,114.33,restaurants,online
353688,U010072,2024-06-15,50.53,entertainment,direct_debit
1607710,U045267,2024-10-23,124.28,groceries,card
76886,U002148,2024-12-31,15.5,bills,direct_debit
1503924,U042291,2024-12-31,39.11,restaurants,card
485886,U013906,2024-12-31,121.77,transport,card
521038,U014800,2024-12-31,4.0,restaurants,direct_debit
873087,U024714,2024-12-31,9.9,groceries,card
1183691,U033460,2024-09-26,58.25,transport,online
878559,U024879,2024-10-31,3.84,shopping,direct_debit
1409264,U039727,2024-09-01,24.58,entertainment,online
733901,U020682,2024-12-10,103.62,restaurants,online
455557,U013009,2024-09-22,3.16,shopping,direct_debit
474138,U013560,2024-12-04,53.06,entertainment,direct_debit
333679,U009509,2024-06-28,30.7,bills,card
124811,U003541,2024-09-22,11.99,restaurants,online
591377,U016766,2024-08-17,12.02,bills,direct_debit
1194626,U033773,2024-10-09,20.37,transport,online
313485,U008957,2024-02-02,7.64,restaurants,card
1386375,U039119,2024-06-28,32.36,bills,card
1539393,U043292,2024-12-31,8.6,transport,online
35221,U001007,2024-12-31,24.05,shopping,card
1704613,U048122,2024-12-14,12.97,groceries,online
418681,U011946,2024-12-31,56.96,entertainment,direct_debit
1248050,U035327,2024-08-01,95.76,groceries,direct_debit
288894,U008243,2024-12-11,33.48,transport,online
1108283,U031312,2024-11-15,65.82,transport,direct_debit
1546159,U043500,2024-10-12,31.94,entertainment,card
543311,U015473,2024-12-31,40.6,shopping,direct_debit
685226,U019386,2024-12-29,81.82,entertainment,online
1032134,U029226,2024-02-24,2.28,restaurants,online
1722769,U048598,2024-12-08,9.68,shopping,card
82857,U002340,2024-10-25,68.17,shopping,direct_debit
104285,U002960,2024-12-31,30.58,groceries,direct_debit
807238,U022760,2024-12-03,17.05,groceries,direct_debit
707028,U019971,2024-12-31,30.06,bills,direct_debit
212975,U006145,2024-12-31,34.39,restaurants,card
115510,U003259,2024-07-05,26.31,shopping,direct_debit
1279616,U036182,2024-07-14,46.44,restaurants,direct_debit
17086,U000503,2024-08-12,20.52,transport,online
795765,U022409,2024-12-31,28.74,groceries,card
1215330,U034374,2024-11-12,33.01,transport,online
1709155,U048240,2024-11-08,42.84,transport,card
58014,U001634,2024-10-04,186.38,shopping,online
917412,U025958,2024-08-07,5.97,entertainment,online
18025,U000531,2024-12-01,168.5,bills,direct_debit
1429842,U040305,2024-01-30,62.05,entertainment,online
316102,U009023,2024-12-31,8.37,transport,direct_debit
1319446,U037282,2024-12-31,14.31,entertainment,card
953818,U026973,2024-12-31,14.74,entertainment,direct_debit
298384,U008514,2024-06-23,75.69,bills,online
1592327,U044820,2024-01-13,7.24,entertainment,card
480879,U013751,2024-12-31,47.66,groceries,card
605551,U017155,2024-12-31,5.48,groceries,direct_debit
1109594,U031349,2024-12-31,20.07,groceries,online
1034114,U029274,2024-12-31,32.01,groceries,online
1770385,U049927,2024-12-31,113.98,groceries,direct_debit
1211659,U034286,2024-11-23,22.07,bills,card
1740358,U049117,2024-03-20,67.78,entertainment,direct_debit
1085694,U030657,2024-12-31,39.49,shopping,direct_debit
1302680,U036800,2024-12-31,8.19,shopping,direct_debit
367577,U010477,2024-12-31,63.4,entertainment,direct_debit
1541981,U043374,2024-12-31,56.28,bills,direct_debit
756526,U021308,2024-12-31,7.45,entertainment,online
59624,U001674,2024-12-31,53.59,groceries,direct_debit
876018,U024811,2024-11-15,5.07,bills,direct_debit
1742695,U049177,2024-12-31,28.5,restaurants,card
498704,U014231,2024-05-02,10.57,groceries,online
173628,U004967,2024-08-15,51.75,bills,direct_debit
1678420,U047341,2024-12-31,41.12,entertainment,direct_debit
1298722,U036694,2024-12-31,5.78,bills,online
1151136,U032548,2024-12-31,77.67,groceries,direct_debit
1144935,U032399,2024-12-31,356.61,transport,direct_debit
297210,U008485,2024-12-31,1.16,restaurants,online
902410,U025545,2024-03-20,50.89,groceries,card
1161232,U032832,2024-05-31,7.46,entertainment,online
674046,U019072,2024-12-31,4.66,restaurants,online
316116,U009023,2024-12-31,57.97,bills,card
1221745,U034546,2024-09-26,27.68,bills,online
364298,U010387,2024-12-30,6.47,entertainment,online
625679,U017724,2024-12-31,174.1,groceries,online
396866,U011259,2024-10-02,22.25,groceries,card
1562908,U043989,2024-12-31,19.98,bills,online
1044322,U029545,2024-04-09,34.66,restaurants,online
749873,U021097,2024-09-16,57.81,transport,online
463695,U013247,2024-07-08,8.11,bills,card
187533,U005393,2024-11-16,67.16,shopping,online
1705635,U048142,2024-01-26,4.75,entertainment,card
1121700,U031713,2024-12-31,5.72,transport,direct_debit
1376590,U038837,2024-07-26,20.25,bills,direct_debit
1331090,U037625,2024-03-12,30.24,transport,direct_debit
320862,U009168,2024-11-02,7.84,entertainment,online
1211364,U034281,2024-07-16,4.02,bills,direct_debit
1100126,U031063,2024-08-20,45.35,transport,online
5541,U000178,2024-07-04,16.15,transport,direct_debit
854533,U024184,2024-12-31,31.64,bills,card
372914,U010610,2024-09-03,32.18,bills,direct_debit
1378159,U038883,2024-12-31,28.78,bills,online
1370304,U038685,2024-06-25,17.58,shopping,online
1382455,U039002,2024-08-28,19.82,shopping,direct_debit
153763,U004346,2024-12-31,5.17,restaurants,online
903076,U025577,2024-06-20,23.27,groceries,direct_debit
1210681,U034266,2024-12-31,14.18,transport,direct_debit
1578485,U044442,2024-05-27,51.5,transport,direct_debit
539393,U015366,2024-12-19,42.9,entertainment,online
317171,U009053,2024-12-18,12.34,shopping,online
533133,U015184,2024-08-22,43.42,entertainment,online
365248,U010409,2024-11-27,4.36,bills,card
579676,U016444,2024-07-21,27.71,restaurants,online
1450522,U040893,2024-10-06,26.48,bills,online
1547789,U043543,2024-08-08,50.93,bills,card
797756,U022478,2024-11-11,10.24,transport,card
1316838,U037196,2024-12-31,25.91,restaurants,card
625889,U017729,2024-11-29,22.38,transport,direct_debit
641069,U018112,2024-06-13,26.52,transport,direct_debit
919521,U026004,2024-12-31,23.19,shopping,online
749633,U021091,2024-12-31,140.1,shopping,direct_debit
902030,U025527,2024-10-12,67.29,bills,card
1211718,U034286,2024-12-31,14.95,transport,direct_debit
419084,U011959,2024-12-31,12.48,entertainment,online
1527680,U042928,2024-12-31,8.55,shopping,online
1112635,U031440,2024-12-31,53.81,shopping,card
370406,U010541,2024-12-31,57.21,groceries,online
1361349,U038454,2024-12-31,16.8,groceries,online
913752,U025853,2024-08-21,66.72,bills,direct_debit
166210,U004732,2024-12-31,19.91,restaurants,online
1755742,U049528,2024-12-31,5.66,entertainment,online
949727,U026859,2024-12-31,26.15,transport,direct_debit
258781,U007447,2024-10-20,17.97,groceries,direct_debit
966429,U027328,2024-12-31,52.46,groceries,card
1501986,U042242,2024-12-31,52.39,bills,card
450025,U012848,2024-12-31,83.0,restaurants,card
1685250,U047562,2024-12-31,27.36,restaurants,card
6268,U000198,2024-12-31,8.11,restaurants,direct_debit
1708510,U048229,2024-12-31,18.25,shopping,direct_debit
1400454,U039511,2024-12-31,67.77,shopping,card
582142,U016504,2024-11-04,143.16,groceries,card
1233590,U034908,2024-12-31,41.59,groceries,online
65027,U001821,2024-12-18,9.58,bills,online
1434580,U040438,2024-12-31,26.82,shopping,direct_debit
489844,U013998,2024-10-16,55.61,groceries,card
1126734,U031859,2024-12-31,22.7,groceries,card
32625,U000931,2024-12-31,143.18,transport,direct_debit
895118,U025335,2024-12-31,40.6,shopping,online
1105483,U031226,2024-09-06,51.98,bills,card
7824,U000238,2024-12-31,1.7,entertainment,direct_debit
732603,U020660,2024-09-26,46.81,shopping,card
808679,U022801,2024-07-20,44.71,shopping,direct_debit
1641892,U046271,2024-11-19,43.3,transport,online
958637,U027081,2024-12-18,17.84,entertainment,direct_debit
1071570,U030290,2024-10-01,7.71,restaurants,online
1350423,U038124,2024-12-31,19.43,bills,direct_debit
851328,U024093,2024-12-31,13.61,restaurants,card
1546486,U043508,2024-06-18,76.11,bills,online
1310227,U037030,2024-11-29,15.93,bills,direct_debit
517144,U014691,2024-09-23,31.58,shopping,online
1043994,U029535,2024-11-26,30.26,transport,online
1342393,U037917,2024-12-31,188.65,shopping,direct_debit
1202337,U033994,2024-12-31,1.8,groceries,online
1218358,U034468,2024-12-31,28.78,transport,card
1579384,U044476,2024-12-31,2.94,groceries,card
956037,U027024,2024-08-01,22.82,groceries,card
1454668,U040987,2024-12-31,50.58,bills,card
1295230,U036615,2024-12-31,57.22,transport,card
260695,U007495,2024-12-31,59.98,transport,direct_debit
221505,U006389,2024-12-31,72.53,transport,online
1129845,U031950,2024-12-31,90.87,shopping,online
774006,U021794,2024-09-09,12.49,groceries,online
579392,U016438,2024-12-31,3.98,shopping,card
107400,U003054,2024-09-15,6.71,entertainment,online
657375,U018577,2024-11-15,129.81,shopping,card
1310751,U037043,2024-11-11,5.9,entertainment,direct_debit
1479778,U041698,2024-06-25,3.64,restaurants,direct_debit
1085373,U030647,2024-12-20,56.36,groceries,online
516690,U014683,2024-12-31,27.27,entertainment,online
853362,U024153,2024-06-08,16.03,groceries,card
1258875,U035599,2024-06-24,74.89,restaurants,online
22297,U000640,2024-09-16,11.6,shopping,online
565425,U016051,2024-12-31,6.97,transport,card
1732014,U048854,2024-04-12,100.79,transport,online
903794,U025597,2024-12-31,41.81,bills,card
788479,U022202,2024-12-31,45.62,transport,direct_debit
1767218,U049851,2024-12-31,5.0,restaurants,direct_debit
389718,U011033,2024-12-31,55.52,bills,card
798622,U022499,2024-11-30,166.59,transport,card
689305,U019492,2024-12-31,31.2,shopping,online
530347,U015096,2024-12-31,22.34,restaurants,card
1070077,U030242,2024-04-19,44.01,shopping,online
180769,U005191,2024-08-15,50.94,restaurants,direct_debit
154572,U004364,2024-12-31,5.22,restaurants,online
1514321,U042557,2024-06-29,16.85,shopping,online
1678421,U047341,2024-12-31,31.54,bills,card
708134,U020001,2024-12-31,3.32,transport,online
